code,district,department,municipality,school_name,address,phone,supervisor,director,sector,area,status,teaching_mode,schedule,plan,departmental
00-03-7607-46,01-403,Guatemala,Guatemala,Liceo Brasileno,Sin especificar,"['2251-7920', '2251-8076']",Carlos Humberto Gonzalez De Leon,Amanda Maria Del Socorro Guzman Gomez,Privado,Urbana,Cerrada Temporalmente,Monolingue,Doble,Fin de semana,Metropolitana
00-03-7621-46,Sin especificar,Guatemala,Guatemala,Colegio Mixto Superior Universal,Sin especificar,['2471-5576'],Sin especificar,Sin especificar,Privado,Urbana,Cerrada Temporalmente,Monolingue,Doble,Fin de semana,Metropolitana
00-03-8227-46,01-302,Guatemala,Guatemala,Liceo Mariano Galvez,Sin especificar,['2230-6679'],Hector Edelmiro Flores Bringuez,Sin especificar,Privado,Urbana,Cerrada Temporalmente,Monolingue,Vespertina,Diario,Metropolitana
00-03-8280-46,01-402,Guatemala,Guatemala,Colegio Evangelico Mixto Francisco G Penzotti Por Madurez,Sin especificar,['2440-2064'],Carlos Humberto Gonzalez De Leon,Sin especificar,Privado,Urbana,Cerrada Temporalmente,Monolingue,Intermedia,Fin de semana,Metropolitana
00-03-8342-46,Sin especificar,Guatemala,Guatemala,Asocaicion De Alfabetizacion Y Superacion Integral Cristiana Por Madurez,Sin especificar,['2440-6218'],Sin especificar,Sin especificar,Privado,Urbana,Cerrada Temporalmente,Monolingue,Matutina,Fin de semana,Metropolitana
00-03-8572-46,01-302,Guatemala,Guatemala,Colegio Tecnologico Moderno,Sin especificar,['4207-8127'],Hector Edelmiro Flores Bringuez,Byron Estuardo Giron Bran,Privado,Urbana,Temporal Titulos,Monolingue,Matutina,Diario,Metropolitana
00-03-8574-46,01-302,Guatemala,Guatemala,Colegio Tecnologico Moderno,Sin especificar,['2471-2407'],Hector Edelmiro Flores Bringuez,Sin especificar,Privado,Urbana,Cerrada Temporalmente,Monolingue,Vespertina,Diario,Metropolitana
00-03-8576-46,01-628,Guatemala,Guatemala,Colegio Tecnologico Moderno,Sin especificar,"['2471-2407', '2472-0315']",Carlos Humberto Gonzalez De Leon,Sin especificar,Privado,Urbana,Cerrada Temporalmente,Monolingue,Nocturna,Diario,Metropolitana
00-03-9227-46,01-302,Guatemala,Guatemala,Centro Educativo Tecnologico Emiliano,Sin especificar,['2471-0821'],Hector Edelmiro Flores Bringuez,Rosa Maria Recinos Alvarez,Privado,Urbana,Cerrada Temporalmente,Monolingue,Matutina,Diario,Metropolitana
00-03-9228-46,01-403,Guatemala,Guatemala,Centro Educativo Tecnologico Emiliano,Sin especificar,['4964-3184'],Carlos Humberto Gonzalez De Leon,Rosa Maria Recinos Alvarez,Privado,Urbana,Abierta,Monolingue,Doble,Fin de semana,Metropolitana
00-03-9268-46,01-403,Guatemala,Guatemala,Centro Educativo Tecnologico Emiliano,Sin especificar,['4964-3184'],Carlos Humberto Gonzalez De Leon,Rosa Maria Recinos Alvarez,Privado,Urbana,Abierta,Monolingue,Doble,Fin de semana,Metropolitana
00-03-9800-46,99-001,Guatemala,Guatemala,Escuela Juana De Arco Mixta,Sin especificar,"['2232-1385', '2232-3734']",Silvia Eugenia Valdez Monterroso De Carballo,Sin especificar,Privado,Urbana,Temporal Titulos,Monolingue,Matutina,Diario,Metropolitana
00-04-0005-46,01-312,Guatemala,Guatemala,Instituto Guatemalteco Americano,Sin especificar,['2422-5555'],Amado Salomon Flores Perez,Claudia Elizabeth Sanchez Santos,Privado,Urbana,Abierta,Monolingue,Matutina,Diario,Metropolitana
00-04-0376-46,01-312,Guatemala,Guatemala,Instituto Guatemalteco Americano,Sin especificar,['2422-5555'],Amado Salomon Flores Perez,Claudia Elizabeth Sanchez Santos,Privado,Urbana,Abierta,Monolingue,Matutina,Diario,Metropolitana
00-04-9689-46,01-312,Guatemala,Guatemala,Instituto Guatemalteco Americano,Sin especificar,['2422-5555'],Amado Salomon Flores Perez,Claudia Elizabeth Sanchez Santos,Privado,Urbana,Cerrada Temporalmente,Monolingue,Doble,Diario,Metropolitana
00-04-9791-46,99-001,Guatemala,Guatemala,Escuela De Capacitacion En Administracion Municipal Ecam,Sin especificar,Sin especificar,Silvia Eugenia Valdez Monterroso De Carballo,Sin especificar,Municipal,Urbana,Temporal Titulos,Monolingue,Nocturna,Diario,Metropolitana
00-05-0001-46,01-101,Guatemala,Guatemala,Liceo Mixto De Educacion Integral,Sin especificar,Sin especificar,Maria Estela Marroquin Chur De Ortega,Sin especificar,Privado,Urbana,Temporal Titulos,Monolingue,Nocturna,Diario,Metropolitana
00-05-0007-46,01-313,Guatemala,Guatemala,Escuela Superior De Comercio Y Academia Royal,Sin especificar,['2331-6077'],Erick Guillermo Sanchez Martinez,Blanca Ulianova Alvarado Ibanez,Privado,Urbana,Abierta,Monolingue,Matutina,Diario,Metropolitana
00-05-0016-46,01-313,Guatemala,Guatemala,Colegio Marta Novella,Sin especificar,['2339-3125'],Erick Guillermo Sanchez Martinez,Ana Virginia Rodas Vasquez,Privado,Urbana,Abierta,Monolingue,Matutina,Diario,Metropolitana
00-05-0025-46,01-314,Guatemala,Guatemala,Colegio Madrid,Sin especificar,['3513-1111'],Plinio Ivan Hernandez,Jose Rafael Villela Bollath,Privado,Urbana,Abierta,Monolingue,Matutina,Diario,Metropolitana
00-05-0029-46,01-313,Guatemala,Guatemala,Colegio Los Ninos De Santa Maria,Sin especificar,['2334-9314'],Erick Guillermo Sanchez Martinez,Laura Veronica Monzon Carcamo,Privado,Urbana,Abierta,Monolingue,Matutina,Diario,Metropolitana
00-05-0031-46,01-504,Guatemala,Guatemala,Instituto Nacional De Formacion Tecnica,Sin especificar,['4117-5147'],David Sotoj Sanchez,Maria Eugenia San Jose Menendez,Oficial,Urbana,Abierta,Monolingue,Doble,Diario,Metropolitana
00-05-0033-46,01-313,Guatemala,Guatemala,Colegio San Agustin,Sin especificar,['2335-6656'],Erick Guillermo Sanchez Martinez,Ingrid Mariela Rodriguez Gonzalez,Privado,Urbana,Abierta,Monolingue,Matutina,Diario,Metropolitana
00-05-0038-46,01-313,Guatemala,Guatemala,Centro Escolar Lilian Patricia Dieguez De Rosales,Sin especificar,['4610-9455'],Erick Guillermo Sanchez Martinez,Fadua Camacho David,Privado,Urbana,Abierta,Monolingue,Matutina,Semipresencial,Metropolitana
00-05-0454-46,01-504,Guatemala,Guatemala,Instituto Nacional De Formacion Tecnica,Sin especificar,['2335-5168'],David Sotoj Sanchez,Maria Eugenia San Jose Menendez,Oficial,Urbana,Abierta,Monolingue,Vespertina,Diario,Metropolitana
00-05-0455-46,01-504,Guatemala,Guatemala,Instituto Diversificado Central De Mercadotecnia Y Publicidad,Sin especificar,['2335-0777'],David Sotoj Sanchez,Norma Maritza Ramos Perez,Oficial,Urbana,Abierta,Monolingue,Vespertina,Diario,Metropolitana
00-05-0457-46,01-314,Guatemala,Guatemala,Escuela Profesional San Vicente De Paul,Sin especificar,['2239-1272'],Plinio Ivan Hernandez,Karen Azucena Palma Mazariegos,Privado,Urbana,Abierta,Monolingue,Matutina,Diario,Metropolitana
00-05-0458-46,01-405,Guatemala,Guatemala,Centro Educacional Minerva Cedma,Sin especificar,['2332-5242'],Blanca Sarai Gutierrez Pineda,Maria Del Socorro Tanchez Rojas De De Leon,Privado,Urbana,Cerrada Temporalmente,Monolingue,Nocturna,Diario,Metropolitana
00-05-2214-46,01-314,Guatemala,Guatemala,Instituto Privado De Educacion Diversificada Liceo Guatemala,Sin especificar,['2209-5400'],Plinio Ivan Hernandez,Ericka Del Rosario Dardon Paredes,Privado,Urbana,Abierta,Monolingue,Matutina,Diario,Metropolitana
00-05-2481-46,01-313,Guatemala,Guatemala,Instituto Guatemalteco Espanol,Sin especificar,['2332-1393'],Erick Guillermo Sanchez Martinez,Miguel Jose Ralon Rosales,Privado,Urbana,Abierta,Monolingue,Matutina,Diario,Metropolitana
00-05-2490-46,01-405,Guatemala,Guatemala,Liceo Guatemala Jornada Nocturna E Intermedia,Sin especificar,['2334-1680'],Blanca Sarai Gutierrez Pineda,Ricardo Ortiz Romero,Privado,Urbana,Cerrada Temporalmente,Monolingue,Intermedia,Diario,Metropolitana
00-05-2912-46,Sin especificar,Guatemala,Guatemala,Liceo Mixto De Educacion Integral,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Privado,Urbana,Cerrada Temporalmente,Monolingue,Matutina,Diario,Metropolitana
00-05-3067-46,01-313,Guatemala,Guatemala,Centro Estudiantil De Ensenanza Media,Sin especificar,['2332-7777'],Erick Guillermo Sanchez Martinez,Sin especificar,Privado,Urbana,Cerrada Temporalmente,Monolingue,Matutina,Diario,Metropolitana
00-05-7952-46,Sin especificar,Guatemala,Guatemala,Liceo Mixto En Computacion Guatemalteco San Carlos,Sin especificar,['2335-0996'],Sin especificar,Sin especificar,Privado,Urbana,Cerrada Temporalmente,Monolingue,Nocturna,Diario,Metropolitana
00-05-7953-46,01-405,Guatemala,Guatemala,Liceo Mixto En Computacion Guatemalteco San Carlos,Sin especificar,['2335-4018'],Blanca Sarai Gutierrez Pineda,Licda Doris Zunun Carrera,Privado,Urbana,Cerrada Temporalmente,Monolingue,Doble,Fin de semana,Metropolitana
00-05-7955-46,01-314,Guatemala,Guatemala,Liceo Mixto En Computacion Guatemalteco San Carlos,Sin especificar,['2335-4018'],Plinio Ivan Hernandez,Sin especificar,Privado,Urbana,Cerrada Temporalmente,Monolingue,Matutina,Diario,Metropolitana
00-05-8102-46,01-313,Guatemala,Guatemala,Instituto Escritura Veloz Speedwriting,Sin especificar,['2331-6077'],Erick Guillermo Sanchez Martinez,Sin especificar,Privado,Urbana,Cerrada Temporalmente,Monolingue,Matutina,Diario,Metropolitana
00-05-8161-46,Sin especificar,Guatemala,Guatemala,Centro Educacional Minerva Cedma,Sin especificar,['2332-5242'],Sin especificar,Sin especificar,Privado,Urbana,Cerrada Temporalmente,Monolingue,Matutina,Fin de semana,Metropolitana
00-05-8233-46,01-313,Guatemala,Guatemala,Centro Educativo Acropolis,Sin especificar,['2336-0138'],Erick Guillermo Sanchez Martinez,Beatriz Eugenia Ortega Velasquez,Privado,Urbana,Abierta,Monolingue,Matutina,Diario,Metropolitana
00-05-8283-46,01-313,Guatemala,Guatemala,Colegio Evangelico Mixto Alfa,Sin especificar,['2335-4466'],Erick Guillermo Sanchez Martinez,Ana Luisa Guerra Castaneda,Privado,Urbana,Abierta,Monolingue,Matutina,Diario,Metropolitana
00-05-8475-46,01-405,Guatemala,Guatemala,Centro Estudiantil De Ensenanza Media Por Madurez,Sin especificar,['2332-7777'],Blanca Sarai Gutierrez Pineda,Sin especificar,Privado,Urbana,Cerrada Temporalmente,Monolingue,Doble,Fin de semana,Metropolitana
00-05-8531-46,Sin especificar,Guatemala,Guatemala,Liceo Guatemalteco De Estudios En Computacion,Sin especificar,['2362-3262'],Maria Felicita Roque Carrera,Sin especificar,Privado,Urbana,Cerrada Temporalmente,Monolingue,Matutina,Diario,Metropolitana
00-05-8557-46,01-405,Guatemala,Guatemala,Liceo Guatemalteco De Estudios En Computacion,Sin especificar,['2362-3262'],Blanca Sarai Gutierrez Pineda,Sin especificar,Privado,Urbana,Cerrada Temporalmente,Monolingue,Doble,Fin de semana,Metropolitana
00-05-8861-46,01-405,Guatemala,Guatemala,Liceo Mixto Nuestra Senora De Medjugorje,Sin especificar,['2335-4385'],Blanca Sarai Gutierrez Pineda,Sin especificar,Privado,Urbana,Cerrada Temporalmente,Monolingue,Matutina,Fin de semana,Metropolitana
00-05-8862-46,01-405,Guatemala,Guatemala,Liceo Mixto Nuestra Senora De Medjugorje,Sin especificar,['2335-4385'],Blanca Sarai Gutierrez Pineda,Sin especificar,Privado,Urbana,Cerrada Temporalmente,Monolingue,Vespertina,Fin de semana,Metropolitana
00-05-8941-46,01-313,Guatemala,Guatemala,Escuela Militar De Musica Maestro Rafael Alvarez Ovalle,Sin especificar,['4497-4290'],Erick Guillermo Sanchez Martinez,Lesly Erasmo Velasquez Rivera,Oficial,Urbana,Abierta,Monolingue,Doble,Diario,Metropolitana
00-05-9794-46,99-001,Guatemala,Guatemala,Instituto Tecnico Femenino,Sin especificar,Sin especificar,Silvia Eugenia Valdez Monterroso De Carballo,Doris Leonor Zunun Carrera,Oficial,Urbana,Temporal Titulos,Monolingue,Vespertina,Diario,Metropolitana
00-05-9801-46,99-001,Guatemala,Guatemala,Instituto Mixto Nocturno Jose Batres Montufar,Sin especificar,Sin especificar,Silvia Eugenia Valdez Monterroso De Carballo,Sin especificar,Privado,Urbana,Temporal Titulos,Monolingue,Nocturna,Diario,Metropolitana
00-05-9827-46,99-001,Guatemala,Guatemala,Liceo Particular Mixto Episcopal,Sin especificar,Sin especificar,Silvia Eugenia Valdez Monterroso De Carballo,Sin especificar,Privado,Urbana,Temporal Titulos,Monolingue,Vespertina,Diario,Metropolitana
00-06-0007-46,01-106,Guatemala,Guatemala,Liceo De Ciencias Tecnicas,Sin especificar,['2288-1033'],Cesar Arnoldo Martinez Garcia,Carlos Humberto Barrios Lopez,Privado,Urbana,Abierta,Monolingue,Doble,Fin de semana,Metropolitana
00-06-0008-46,01-106,Guatemala,Guatemala,Liceo De Ciencias Tecnicas,Sin especificar,['2288-1033'],Cesar Arnoldo Martinez Garcia,Carlos Humberto Barrios Lopez,Privado,Urbana,Abierta,Monolingue,Doble,Fin de semana,Metropolitana
00-06-0012-46,01-403,Guatemala,Guatemala,Colegio Panamericano No 6,Sin especificar,['2254-9965'],Carlos Humberto Gonzalez De Leon,Mildred Yadira Hernandez Laza Lux,Privado,Urbana,Cerrada Temporalmente,Monolingue,Doble,Fin de semana,Metropolitana
00-06-0013-46,01-101,Guatemala,Guatemala,Colegio Panamericano No 6,Sin especificar,['2254-9967'],Maria Estela Marroquin Chur De Ortega,Mildred Yadira Hernandez Laza Lux,Privado,Urbana,Cerrada Temporalmente,Monolingue,Matutina,Diario,Metropolitana
00-06-0014-46,01-102,Guatemala,Guatemala,Colegio Panamericano No 6,Sin especificar,['2254-9965'],Zizi Arely Lopez Chinchilla,Carlos Alfredo Carrillo Garcia Salas,Privado,Urbana,Cerrada Temporalmente,Monolingue,Vespertina,Diario,Metropolitana
00-06-0021-46,01-403,Guatemala,Guatemala,Colegio Panamericano No 6,Sin especificar,['5550-0469'],Carlos Humberto Gonzalez De Leon,Mildred Yadira Hernandez Laza Lux,Privado,Urbana,Cerrada Temporalmente,Monolingue,Doble,Fin de semana,Metropolitana
00-06-0022-46,01-102,Guatemala,Guatemala,Colegio Marianne Frostig,Sin especificar,['4034-4543'],Zizi Arely Lopez Chinchilla,Atala Maria Arriola Mansilla,Privado,Urbana,Abierta,Monolingue,Matutina,Diario,Metropolitana
00-06-0023-46,01-102,Guatemala,Guatemala,Colegio Marianne Frostig,Sin especificar,['2288-1700'],Zizi Arely Lopez Chinchilla,Julio Alejandro Orellana,Privado,Urbana,Cerrada Temporalmente,Monolingue,Vespertina,Diario,Metropolitana
00-06-0024-46,01-407,Guatemala,Guatemala,Colegio Marianne Frostig,Sin especificar,['2288-1700'],Carlos Humberto Gonzalez De Leon,Julio Alejandro Orellana,Privado,Urbana,Cerrada Temporalmente,Monolingue,Doble,Fin de semana,Metropolitana
00-06-0028-46,01-101,Guatemala,Guatemala,Liceo Profesor David Letran,Sin especificar,['4473-1032'],Maria Estela Marroquin Chur De Ortega,Alma Isabel Oliva Herrera,Privado,Urbana,Abierta,Monolingue,Matutina,Diario,Metropolitana
00-06-0032-46,01-403,Guatemala,Guatemala,Instituto Nacional De Educacion Diversificada Carlos Benjamin Paiz Ayala ,Sin especificar,['2210-2943'],Carlos Humberto Gonzalez De Leon,Jovita Antonieta Miranda Barrios,Oficial,Urbana,Abierta,Monolingue,Nocturna,Diario,Metropolitana
00-06-0033-46,01-403,Guatemala,Guatemala,Instituto Nacional De Educacion Diversificada Carlos Benjamin Paiz Ayala ,Sin especificar,['2270-2943'],Carlos Humberto Gonzalez De Leon,Jovita Antonieta Miranda Barrios,Oficial,Urbana,Abierta,Monolingue,Nocturna,Diario,Metropolitana
00-06-0038-46,01-101,Guatemala,Guatemala,Liceo De Computacion CSS Zona 7,Sin especificar,['2288-2093'],Maria Estela Marroquin Chur De Ortega,Leonel Ramiro Alvarez Carrera,Privado,Urbana,Abierta,Monolingue,Vespertina,Diario,Metropolitana
00-06-0042-46,01-102,Guatemala,Guatemala,Liceo Tecnologico Guatemalteco,Sin especificar,['2288-5205'],Zizi Arely Lopez Chinchilla,Sara Liseth Arias Mijangos,Privado,Urbana,Abierta,Monolingue,Matutina,Diario,Metropolitana
00-06-0045-46,01-403,Guatemala,Guatemala,Liceo Tecnologico Guatemalteco,Sin especificar,['2288-5205'],Carlos Humberto Gonzalez De Leon,Sara Liseth Arias Mijangos,Privado,Urbana,Abierta,Monolingue,Matutina,Fin de semana,Metropolitana
00-06-0046-46,01-403,Guatemala,Guatemala,Liceo Tecnologico Guatemalteco,Sin especificar,['2288-5205'],Carlos Humberto Gonzalez De Leon,Sara Liseth Arias Mijangos,Privado,Urbana,Abierta,Monolingue,Matutina,Fin de semana,Metropolitana
00-06-0049-46,01-101,Guatemala,Guatemala,Liceo Mixto Bilingue Jose Maria Orellana,Sin especificar,['2254-2497'],Maria Estela Marroquin Chur De Ortega,Hector Ronaldo Claveria Sandoval,Privado,Urbana,Abierta,Monolingue,Matutina,Diario,Metropolitana
00-06-0050-46,01-102,Guatemala,Guatemala,Colegio Privado Teresa De Avila,Sin especificar,['2288-0382'],Zizi Arely Lopez Chinchilla,Jose Leonel Quezada Abdo,Privado,Urbana,Abierta,Monolingue,Matutina,Diario,Metropolitana
00-06-0051-46,01-102,Guatemala,Guatemala,Colegio Privado Teresa De Avila,Sin especificar,['2270-3364'],Zizi Arely Lopez Chinchilla,Jose Leonel Quezada Abdo,Privado,Urbana,Abierta,Monolingue,Matutina,Diario,Metropolitana
